region,date,holiday_name
Auckland,2023-01-30,Auckland Anniversary Day
Auckland,2024-01-29,Auckland Anniversary Day
Auckland,2025-01-27,Auckland Anniversary Day
Bay of Plenty,2023-01-30,Auckland Anniversary Day
Bay of Plenty,2024-01-29,Auckland Anniversary Day
Bay of Plenty,2025-01-27,Auckland Anniversary Day
Canterbury,2023-09-25,Canterbury (South) Anniversary Day
Canterbury,2023-11-17,Canterbury Anniversary Day
Canterbury,2024-09-23,Canterbury (South) Anniversary Day
Canterbury,2024-11-15,Canterbury Anniversary Day
Canterbury,2025-09-22,Canterbury (South) Anniversary Day
Canterbury,2025-11-14,Canterbury Anniversary Day
Hawke's Bay,2023-10-20,Hawke's Bay Anniversary Day
Hawke's Bay,2024-10-25,Hawke's Bay Anniversary Day
Hawke's Bay,2025-10-24,Hawke's Bay Anniversary Day
Manawatu-Whanganui,2023-01-23,Wellington Anniversary Day
Manawatu-Whanganui,2024-01-22,Wellington Anniversary Day
Manawatu-Whanganui,2025-01-20,Wellington Anniversary Day
Nelson-Marlborough,2023-01-30,Nelson Anniversary Day
Nelson-Marlborough,2023-10-30,Marlborough Anniversary Day
Nelson-Marlborough,2024-01-29,Nelson Anniversary Day
Nelson-Marlborough,2024-11-04,Marlborough Anniversary Day
Nelson-Marlborough,2025-02-03,Nelson Anniversary Day
Nelson-Marlborough,2025-11-03,Marlborough Anniversary Day
Northland,2023-01-30,Auckland Anniversary Day
Northland,2024-01-29,Auckland Anniversary Day
Northland,2025-01-27,Auckland Anniversary Day
Otago,2023-03-20,Otago Anniversary Day
Otago,2024-03-25,Otago Anniversary Day
Otago,2025-03-24,Otago Anniversary Day
Southland,2023-04-11,Southland Anniversary Day
Southland,2024-04-02,Southland Anniversary Day
Southland,2025-04-22,Southland Anniversary Day
Taranaki,2023-03-13,Taranaki Anniversary Day
Taranaki,2024-03-11,Taranaki Anniversary Day
Taranaki,2025-03-10,Taranaki Anniversary Day
Waikato,2023-01-30,Auckland Anniversary Day
Waikato,2024-01-29,Auckland Anniversary Day
Waikato,2025-01-27,Auckland Anniversary Day
Wellington,2023-01-23,Wellington Anniversary Day
Wellington,2024-01-22,Wellington Anniversary Day
Wellington,2025-01-20,Wellington Anniversary Day
